"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/07/2021","AQS","510330001","1","0.066","ppm","87","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/08/2021","AQS","510330001","1","0.045","ppm","42","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/09/2021","AQS","510330001","1","0.037","ppm","34","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/10/2021","AQS","510330001","1","0.044","ppm","41","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/11/2021","AQS","510330001","1","0.047","ppm","44","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/12/2021","AQS","510330001","1","0.039","ppm","36","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/13/2021","AQS","510330001","1","0.037","ppm","34","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/14/2021","AQS","510330001","1","0.034","ppm","31","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/15/2021","AQS","510330001","1","0.043","ppm","40","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/16/2021","AQS","510330001","1","0.042","ppm","39","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/17/2021","AQS","510330001","1","0.042","ppm","39","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/18/2021","AQS","510330001","1","0.043","ppm","40","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/19/2021","AQS","510330001","1","0.042","ppm","39","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/20/2021","AQS","510330001","1","0.051","ppm","47","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/21/2021","AQS","510330001","1","0.042","ppm","39","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/22/2021","AQS","510330001","1","0.047","ppm","44","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/23/2021","AQS","510330001","1","0.054","ppm","50","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/24/2021","AQS","510330001","1","0.052","ppm","48","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/25/2021","AQS","510330001","1","0.048","ppm","44","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/26/2021","AQS","510330001","1","0.05","ppm","46","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/27/2021","AQS","510330001","1","0.057","ppm","58","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/28/2021","AQS","510330001","1","0.053","ppm","49","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/29/2021","AQS","510330001","1","0.036","ppm","33","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"04/30/2021","AQS","510330001","1","0.036","ppm","33","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"05/01/2021","AQS","510330001","1","0.035","ppm","32","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"05/02/2021","AQS","510330001","1","0.041","ppm","38","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"05/03/2021","AQS","510330001","1","0.024","ppm","22","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
