"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/11/2021","AQS","517600025","1","53.4","ppb","50","Bryan Park","21","88.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/12/2021","AQS","517600025","1","36.3","ppb","34","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/13/2021","AQS","517600025","1","36.2","ppb","34","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/14/2021","AQS","517600025","1","27.9","ppb","25","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/15/2021","AQS","517600025","1","29.5","ppb","27","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/16/2021","AQS","517600025","1","28","ppb","26","Bryan Park","22","92.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/17/2021","AQS","517600025","1","29.6","ppb","27","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/18/2021","AQS","517600025","1","27.7","ppb","25","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/19/2021","AQS","517600025","1","27.1","ppb","25","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/20/2021","AQS","517600025","1","23.7","ppb","22","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/21/2021","AQS","517600025","1","32.3","ppb","30","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/22/2021","AQS","517600025","1","34.5","ppb","32","Bryan Park","22","92.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/23/2021","AQS","517600025","1","20.1","ppb","19","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/24/2021","AQS","517600025","1","26","ppb","25","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/25/2021","AQS","517600025","1","36.9","ppb","34","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/26/2021","AQS","517600025","1","37.5","ppb","35","Bryan Park","21","88.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/27/2021","AQS","517600025","1","34.4","ppb","32","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/28/2021","AQS","517600025","1","21.8","ppb","20","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/29/2021","AQS","517600025","1","42.4","ppb","40","Bryan Park","21","88.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/30/2021","AQS","517600025","1","38.6","ppb","36","Bryan Park","21","88.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"03/31/2021","AQS","517600025","1","31.9","ppb","29","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/01/2021","AQS","517600025","1","19.8","ppb","18","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/02/2021","AQS","517600025","1","16","ppb","15","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/03/2021","AQS","517600025","1","37.8","ppb","35","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/04/2021","AQS","517600025","1","46.7","ppb","43","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/05/2021","AQS","517600025","1","54.4","ppb","51","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/06/2021","AQS","517600025","1","47.8","ppb","44","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/07/2021","AQS","517600025","1","39.1","ppb","37","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/08/2021","AQS","517600025","1","28.7","ppb","26","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/09/2021","AQS","517600025","1","20.8","ppb","19","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/10/2021","AQS","517600025","1","19.3","ppb","18","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/11/2021","AQS","517600025","1","24.2","ppb","23","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/12/2021","AQS","517600025","1","24.3","ppb","23","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/13/2021","AQS","517600025","1","36.5","ppb","34","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/14/2021","AQS","517600025","1","30.6","ppb","28","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/15/2021","AQS","517600025","1","18.1","ppb","17","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/16/2021","AQS","517600025","1","22.8","ppb","21","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/17/2021","AQS","517600025","1","26.4","ppb","25","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/18/2021","AQS","517600025","1","28.8","ppb","26","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/19/2021","AQS","517600025","1","31.6","ppb","29","Bryan Park","22","92.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/20/2021","AQS","517600025","1","36.2","ppb","34","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/21/2021","AQS","517600025","1","35.4","ppb","33","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/22/2021","AQS","517600025","1","12.4","ppb","11","Bryan Park","22","92.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/23/2021","AQS","517600025","1","31.2","ppb","29","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/24/2021","AQS","517600025","1","28","ppb","26","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"04/25/2021","AQS","517600025","1","31.4","ppb","29","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
